Session,Window,T0_sec,T1_sec,Tmid_sec,Channel,Exponent,Offset
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,P8,0.27740460772112535,1.2556989525928235
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,P4,0.45691367709122693,1.4265907218519402
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,CP2,0.4582715062038141,1.1009322815503995
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,CP6,0.4095304944203341,1.3795245791535422
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,T8,0.1345673154597704,1.1012581555243584
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,FT10,0.478451917896123,1.3190971829505866
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,FC6,0.33601612292376964,1.2540554460210969
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,C4,0.4051245775908514,1.3349208667941554
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,FC2,0.4669615193274162,1.2490368634427196
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,F4,0.47565206870574267,1.3949020943417771
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,F8,1.0524971969018682,2.195866745021647
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,Fp2,0.6540940605506969,1.683859537399283
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,Cz,1.1622376156869898,2.223155486129293
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,Fz,1.1932400312327651,2.1603628272054674
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,Fp1,1.1242617688800676,2.126696506136808
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,F7,1.1434356857475942,2.0381799350367733
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,F3,1.1194343867098984,2.0411520754967056
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,FC1,1.1306590859084158,1.8825795628640818
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,C3,1.126862130274398,2.006982342821156
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,FC5,1.0896719374142019,1.9833324767844702
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,FT9,1.1921561918951686,1.9563066686711907
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,T7,0.8160764963717544,1.6350448400718132
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,CP5,1.024102991665525,1.898309382265065
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,CP1,1.1050949572880204,1.9780021536882475
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,P3,1.0577441598154151,2.046099185730249
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,P7,0.9381097124637531,1.8100384371384555
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,PO9,0.8355319079890993,1.7856521107924366
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,O1,0.9072806444315307,2.0096827600029616
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,Pz,1.0746932889055896,1.896379079591694
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,Oz,0.9797457404065023,2.0398119275048554
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,O2,1.0198343293595915,2.1297333142350974
