t_mid_s,Time_mid,Session,Band,Region,Entropy,n_ch
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Theta,Frontal,0.9373807468786203,11
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Theta,Temporal,0.9406032755833942,4
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Theta,Central,0.9606035303070358,3
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Theta,Parietal,0.9613354181234873,9
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Theta,Occipital,0.984047207569819,5
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Alpha,Frontal,0.9896514784360275,11
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Alpha,Temporal,0.9354142403468498,4
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Alpha,Central,0.9743364350448382,3
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Alpha,Parietal,0.9461229936114516,9
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Alpha,Occipital,0.9581708594745657,5
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,BetaL,Frontal,0.9898971698507996,11
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,BetaL,Temporal,0.9207512274978149,4
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,BetaL,Central,0.9748870757225191,3
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,BetaL,Parietal,0.9566345177675278,9
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,BetaL,Occipital,0.9895443197238599,5
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,BetaH,Frontal,0.9938747284333029,11
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,BetaH,Temporal,0.9749623315899058,4
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,BetaH,Central,0.9848679281755205,3
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,BetaH,Parietal,0.9818448348946764,9
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,BetaH,Occipital,0.9907419058555926,5
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Gamma,Frontal,0.9916157033267351,11
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Gamma,Temporal,0.9554205268679227,4
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Gamma,Central,0.9891154801914144,3
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Gamma,Parietal,0.9784246265671935,9
20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,Gamma,Occipital,0.9976532748282775,5
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Theta,Frontal,0.9772877928008304,11
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Theta,Temporal,0.9164957408603732,4
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Theta,Central,0.9506417546079114,3
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Theta,Parietal,0.9559634554799764,9
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Theta,Occipital,0.9842679472396765,5
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Alpha,Frontal,0.9864640848628905,11
